epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4786,3.79052,5.33422,2.3216,0,0,0,0,3.92587,5.28652,2.33426,3.45e-06,3.45e-06,3.45e-06
2,75.4656,3.43645,5.20868,2.30907,0,0,0,0,3.9425,5.2817,2.3274,1.01451e-05,1.01451e-05,1.01451e-05
3,137.118,3.49535,5.25107,2.32441,0,0,0,0,3.84643,5.26233,2.27582,1.65669e-05,1.65669e-05,1.65669e-05
4,182.329,3.50263,5.24944,2.2378,0,0,0,0,3.68906,5.2193,2.2066,2.27155e-05,2.27155e-05,2.27155e-05
5,232.05,3.24963,5.15623,2.10917,0,0,0,0,3.47712,5.19568,2.10752,2.85908e-05,2.85908e-05,2.85908e-05
6,277.498,3.23856,5.24546,1.94457,0,0,0,0,3.36751,5.15458,2.02361,3.41929e-05,3.41929e-05,3.41929e-05
7,316.266,3.13709,5.17885,1.93788,0,0,0,0,3.27997,5.10321,1.9926,3.95218e-05,3.95218e-05,3.95218e-05
8,343.914,2.92803,5.15969,1.75728,0,0,0,0,3.10571,5.06524,1.88538,4.45774e-05,4.45774e-05,4.45774e-05
9,371.208,2.53962,5.00867,1.64103,0,0,0,0,2.97391,5.04377,1.84005,4.93598e-05,4.93598e-05,4.93598e-05
10,397.937,2.62141,5.01233,1.73649,0,0,0,0,2.77103,5.02505,1.77422,5.3869e-05,5.3869e-05,5.3869e-05
11,426.405,2.38462,4.87675,1.50965,0,0,0,0,2.63034,5.00878,1.73007,5.81049e-05,5.81049e-05,5.81049e-05
12,452.525,2.37382,4.97038,1.53881,0,0,0,0,2.57303,4.98125,1.692,6.20676e-05,6.20676e-05,6.20676e-05
13,479.118,2.3675,4.88651,1.46089,0,0,0,0,2.44562,4.95417,1.61313,6.5757e-05,6.5757e-05,6.5757e-05
14,506.912,2.30328,4.80488,1.40669,0,0,0,0,2.3297,4.93058,1.53934,6.91732e-05,6.91732e-05,6.91732e-05
15,534.293,2.18524,4.80234,1.35702,0,0,0,0,2.25342,4.89982,1.46802,7.23161e-05,7.23161e-05,7.23161e-05
16,562.774,2.02284,4.70381,1.31367,0,0,0,0,2.14119,4.87272,1.41052,7.51858e-05,7.51858e-05,7.51858e-05
17,588.828,2.13758,4.69912,1.31931,0,0,0,0,2.04423,4.85111,1.36373,7.77823e-05,7.77823e-05,7.77823e-05
18,616.317,2.13205,4.65576,1.28547,0,0,0,0,1.97698,4.83761,1.32608,8.01055e-05,8.01055e-05,8.01055e-05
19,642.759,1.97447,4.49122,1.23449,0,0,0,0,1.9064,4.80847,1.28297,8.21555e-05,8.21555e-05,8.21555e-05
20,671.26,2.15724,4.52913,1.25874,0,0,0,0,1.85651,4.78158,1.25761,8.39323e-05,8.39323e-05,8.39323e-05
21,699.061,2.00884,4.42531,1.17543,0,0,0,0,1.82511,4.74242,1.22405,8.54358e-05,8.54358e-05,8.54358e-05
22,727.603,1.86997,4.3151,1.19006,0,0,0,0,1.75942,4.71517,1.18336,8.66661e-05,8.66661e-05,8.66661e-05
23,754.605,2.0465,4.23017,1.19556,0,0,0,0,1.70321,4.67879,1.1562,8.76231e-05,8.76231e-05,8.76231e-05
24,780.6,1.89072,4.18,1.15905,0,0,0,0,1.65467,4.65502,1.13031,8.83069e-05,8.83069e-05,8.83069e-05
25,808.915,1.81203,4.06273,1.08637,0,0,0,0,1.60004,4.63627,1.11735,8.87174e-05,8.87174e-05,8.87174e-05
26,836.222,1.82814,4.13913,1.12094,0,0,0,0,1.56517,4.59084,1.10195,8.88547e-05,8.88547e-05,8.88547e-05
27,863.89,1.88867,4.0499,1.13525,0.00585,0.01316,0.00383,0.00153,1.53739,4.56042,1.10548,8.87188e-05,8.87188e-05,8.87188e-05
28,890.819,1.83669,4.04149,1.10216,0.00585,0.01316,0.00383,0.00153,1.53739,4.56042,1.10548,8.83096e-05,8.83096e-05,8.83096e-05
29,918.236,1.7747,3.87725,1.09012,0.05337,0.15351,0.04392,0.02271,1.5371,4.50563,1.10285,8.76272e-05,8.76272e-05,8.76272e-05
30,947.317,1.85381,4.00046,1.09965,0.05203,0.30175,0.06693,0.03093,1.54295,4.44965,1.10583,8.66716e-05,8.66716e-05,8.66716e-05
31,974.749,1.74165,3.85604,1.09759,0.05203,0.30175,0.06693,0.03093,1.54295,4.44965,1.10583,8.54427e-05,8.54427e-05,8.54427e-05
32,1002.62,1.77542,3.90203,1.05853,0.04292,0.36233,0.07327,0.03232,1.55119,4.36466,1.09646,8.39406e-05,8.39406e-05,8.39406e-05
33,1030.55,1.74015,3.89754,1.08934,0.04842,0.50549,0.09047,0.04465,1.54354,4.29025,1.0879,8.21652e-05,8.21652e-05,8.21652e-05
