epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.826,4.56721,4.17399,3.38844,0,0,0,0,4.62591,4.66883,3.70637,2e-05,2e-05,2e-05
2,27.3117,4.24983,4.2801,3.40875,0,0,0,0,4.38814,4.54785,3.45426,5.9406e-05,5.9406e-05,5.9406e-05
3,41.4143,4.61997,4.23875,2.94916,0,0,0,0,4.0381,4.41584,3.07714,9.802e-05,9.802e-05,9.802e-05
4,56.6307,3.23483,3.81663,3.17256,0.00067,0.03704,0.00035,4e-05,3.67338,4.34933,2.82213,0.000135842,0.000135842,0.000135842
5,70.6222,3.65447,4.22774,2.56106,0.00133,0.07407,0.00075,8e-05,3.17537,4.23748,2.57084,0.000172872,0.000172872,0.000172872
6,83.3266,3.70056,4.27213,2.36385,0.00133,0.07407,0.00075,8e-05,3.17537,4.23748,2.57084,0.00020911,0.00020911,0.00020911
7,97.0102,3.34942,4.29931,2.69287,0.002,0.11111,0.00116,0.00015,3.30928,4.19215,2.54983,0.000244556,0.000244556,0.000244556
8,115.16,3.79376,3.72412,2.74105,0.00333,0.18519,0.00213,0.00045,3.3586,4.11674,2.38449,0.00027921,0.00027921,0.00027921
9,131.531,1.88583,5.62516,1.29025,0.00333,0.18519,0.00213,0.00045,3.3586,4.11674,2.38449,0.000313072,0.000313072,0.000313072
10,145.66,3.36316,3.82712,2.46843,0.00267,0.14815,0.00167,0.0004,3.57376,3.99364,2.23958,0.000346142,0.000346142,0.000346142
11,158.573,3.19896,3.6764,2.29504,0.00267,0.14815,0.00167,0.0004,3.57376,3.99364,2.23958,0.00037842,0.00037842,0.00037842
12,174.822,3.37744,3.65587,2.26961,0.006,0.33333,0.00423,0.00093,3.9884,4.0842,2.73724,0.000409906,0.000409906,0.000409906
13,188.921,2.88211,3.52542,1.9198,0.006,0.33333,0.00423,0.00093,3.9884,4.0842,2.73724,0.0004406,0.0004406,0.0004406
14,208.448,3.20682,4.83868,2.2292,0.006,0.33333,0.00423,0.00093,3.9884,4.0842,2.73724,0.000470502,0.000470502,0.000470502
15,236.066,2.63009,4.1623,1.65982,0.00667,0.37037,0.00521,0.00133,3.91779,4.16788,2.76491,0.000499612,0.000499612,0.000499612
16,255.64,3.05616,3.5339,2.21493,0.00667,0.37037,0.00521,0.00133,3.91779,4.16788,2.76491,0.00052793,0.00052793,0.00052793
17,272.46,3.27194,3.53154,2.42897,0.00667,0.37037,0.00521,0.00133,3.91779,4.16788,2.76491,0.000555456,0.000555456,0.000555456
