epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.30696,2.98439,5.98984,2.86685,0,0,0,0,4.51281,5.96862,2.85969,0,0,0
2,7.41685,3.78537,7.38563,2.65392,0,0,0,0,4.45176,5.97673,2.82709,3.26407e-06,3.26407e-06,3.26407e-06
3,10.2959,3.94145,5.95482,3.27446,0,0,0,0,4.35577,6.00747,2.76853,6.39626e-06,6.39626e-06,6.39626e-06
4,13.9729,4.47537,6.01717,3.01544,0,0,0,0,4.2468,5.99277,2.70984,9.39659e-06,9.39659e-06,9.39659e-06
5,16.6277,4.0958,6.50641,3.48068,0,0,0,0,4.10275,6.01731,2.67018,1.22651e-05,1.22651e-05,1.22651e-05
6,19.9325,2.78542,5.92899,2.85601,0,0,0,0,3.9632,6.01028,2.62839,1.50016e-05,1.50016e-05,1.50016e-05
7,22.2687,3.45141,5.4969,2.94447,0,0,0,0,3.81684,5.99588,2.58622,1.76064e-05,1.76064e-05,1.76064e-05
8,25.1313,4.59777,5.6601,3.19087,0,0,0,0,3.73169,5.91254,2.55156,2.00792e-05,2.00792e-05,2.00792e-05
9,27.8059,0,7.89117,0,0,0,0,0,3.65808,5.91901,2.53534,2.24202e-05,2.24202e-05,2.24202e-05
10,30.4705,4.78955,5.55972,3.09005,0,0,0,0,3.53909,5.95138,2.49261,2.46293e-05,2.46293e-05,2.46293e-05
11,33.4707,2.64436,5.91231,2.79973,0,0,0,0,3.40774,5.92158,2.43935,2.67066e-05,2.67066e-05,2.67066e-05
12,36.067,3.11147,6.19527,2.97908,0,0,0,0,3.32178,5.84648,2.39681,2.8652e-05,2.8652e-05,2.8652e-05
13,39.1701,2.73459,5.90396,2.80085,0,0,0,0,3.2316,5.80361,2.38312,3.04655e-05,3.04655e-05,3.04655e-05
14,42.1477,3.29528,5.5664,2.57262,0,0,0,0,3.1985,5.74905,2.36899,3.21472e-05,3.21472e-05,3.21472e-05
15,44.9869,3.92568,5.47314,2.8071,0,0,0,0,3.14895,5.67779,2.37319,3.36969e-05,3.36969e-05,3.36969e-05
16,47.9585,1.89077,5.65333,2.20344,0,0,0,0,3.13304,5.61251,2.37216,3.51149e-05,3.51149e-05,3.51149e-05
17,55.2807,2.34396,6.00054,2.75776,0,0,0,0,3.06134,5.58322,2.35335,3.64009e-05,3.64009e-05,3.64009e-05
18,58.719,2.53451,5.65873,2.44125,0,0,0,0,3.06134,5.58322,2.35335,3.75551e-05,3.75551e-05,3.75551e-05
19,62.2801,3.68454,6.24279,2.80444,0,0,0,0,2.8671,5.57726,2.27788,3.85774e-05,3.85774e-05,3.85774e-05
20,66.5977,0,7.86174,0,0,0,0,0,2.8671,5.57726,2.27788,3.94678e-05,3.94678e-05,3.94678e-05
21,71.8301,3.7778,5.82667,2.95922,0,0,0,0,2.74206,5.53593,2.2393,4.02264e-05,4.02264e-05,4.02264e-05
22,82.8577,2.7395,5.70274,2.49325,0,0,0,0,2.74206,5.53593,2.2393,4.08531e-05,4.08531e-05,4.08531e-05
23,88.0445,3.18519,5.63623,2.84471,0,0,0,0,2.67287,5.55048,2.22179,4.13479e-05,4.13479e-05,4.13479e-05
24,90.8227,2.86492,5.473,2.61877,0,0,0,0,2.67287,5.55048,2.22179,4.17109e-05,4.17109e-05,4.17109e-05
25,93.6435,3.06826,5.99867,2.85624,0,0,0,0,2.60263,5.54384,2.19651,4.1942e-05,4.1942e-05,4.1942e-05
26,96.3377,2.86205,6.17317,3.03204,0,0,0,0,2.60263,5.54384,2.19651,4.20413e-05,4.20413e-05,4.20413e-05
27,98.8993,3.59153,5.54449,2.74474,0,0,0,0,2.58671,5.55011,2.21481,4.20086e-05,4.20086e-05,4.20086e-05
28,102.241,2.35635,5.64361,2.6199,0,0,0,0,2.58671,5.55011,2.21481,4.18441e-05,4.18441e-05,4.18441e-05
29,104.681,2.8542,5.78629,2.40821,0,0,0,0,2.60764,5.52907,2.21418,4.15477e-05,4.15477e-05,4.15477e-05
30,107.149,2.51587,5.70321,2.62925,0,0,0,0,2.60764,5.52907,2.21418,4.11195e-05,4.11195e-05,4.11195e-05
31,115.889,2.85245,5.84687,2.46487,0,0,0,0,2.64644,5.52786,2.21733,4.05594e-05,4.05594e-05,4.05594e-05
32,121.978,3.64339,5.55718,2.64103,0,0,0,0,2.64644,5.52786,2.21733,3.98674e-05,3.98674e-05,3.98674e-05
33,128.704,2.8338,5.6682,2.49287,0,0,0,0,2.67113,5.51024,2.21885,3.90436e-05,3.90436e-05,3.90436e-05
34,136.428,3.74332,5.88361,3.22506,0,0,0,0,2.67113,5.51024,2.21885,3.80879e-05,3.80879e-05,3.80879e-05
35,146.878,3.17077,5.40964,2.69562,0,0,0,0,2.68317,5.4543,2.17523,3.70003e-05,3.70003e-05,3.70003e-05
36,176.792,2.87805,5.91469,2.99081,0,0,0,0,2.68317,5.4543,2.17523,3.57809e-05,3.57809e-05,3.57809e-05
37,182.798,3.74317,5.48216,2.60943,0,0,0,0,2.70275,5.44209,2.1572,3.44295e-05,3.44295e-05,3.44295e-05
38,185.817,2.74887,6.23877,2.4297,0,0,0,0,2.70275,5.44209,2.1572,3.29464e-05,3.29464e-05,3.29464e-05
39,191.632,2.53417,5.62534,2.31819,0,0,0,0,2.72024,5.43834,2.17295,3.13313e-05,3.13313e-05,3.13313e-05
40,201.354,2.71651,5.85448,2.59792,0,0,0,0,2.72024,5.43834,2.17295,2.95844e-05,2.95844e-05,2.95844e-05
41,206.094,2.40611,6.03649,2.35936,0,0,0,0,2.79418,5.45754,2.17727,2.77056e-05,2.77056e-05,2.77056e-05
42,212.678,2.47533,5.20049,2.22197,0,0,0,0,2.79418,5.45754,2.17727,2.56949e-05,2.56949e-05,2.56949e-05
43,219.453,3.2177,6.12059,2.52338,0,0,0,0,2.83842,5.47212,2.15502,2.35524e-05,2.35524e-05,2.35524e-05
44,222.929,2.61929,5.3695,2.5442,0,0,0,0,2.83842,5.47212,2.15502,2.1278e-05,2.1278e-05,2.1278e-05
45,225.856,2.87596,6.04072,2.45402,0,0,0,0,2.80232,5.5108,2.06249,1.88718e-05,1.88718e-05,1.88718e-05
46,228.473,2.23164,5.92342,2.43031,0,0,0,0,2.80232,5.5108,2.06249,1.63336e-05,1.63336e-05,1.63336e-05
47,234.535,2.66252,5.39942,2.48434,0,0,0,0,2.75553,5.56061,2.02452,1.36637e-05,1.36637e-05,1.36637e-05
48,237.588,2.73867,6.30666,2.39511,0,0,0,0,2.75553,5.56061,2.02452,1.08618e-05,1.08618e-05,1.08618e-05
49,241.699,2.4021,5.73367,2.38893,0,0,0,0,2.67892,5.54438,1.9371,7.92806e-06,7.92806e-06,7.92806e-06
50,244.622,3.70453,6.81887,2.36313,0,0,0,0,2.67892,5.54438,1.9371,4.86247e-06,4.86247e-06,4.86247e-06
